Month,Sales of shampoo over a three year period
01/01/2010,266
02/01/2010,145.9
03/01/2010,183.1
04/01/2010,119.3
05/01/2010,180.3
06/01/2010,168.5
07/01/2010,231.8
08/01/2010,224.5
09/01/2010,192.8
10/01/2010,122.9
11/01/2010,336.5
12/01/2010,185.9
01/01/2011,194.3
02/01/2011,149.5
03/01/2011,210.1
04/01/2011,273.3
05/01/2011,191.4
06/01/2011,287
07/01/2011,226
08/01/2011,303.6
09/01/2011,289.9
10/01/2011,421.6
11/01/2011,264.5
12/01/2011,342.3
01/01/2012,339.7
02/01/2012,440.4
03/01/2012,315.9
04/01/2012,439.3
05/01/2012,401.3
06/01/2012,437.4
07/01/2012,575.5
08/01/2012,407.6
09/01/2012,682
10/01/2012,475.3
11/01/2012,581.3
12/01/2012,646.9
